Time ,E1,I1,AI8,AI7,Pm,P1
0,11.3,-0.645,-0.1,-0.0013,101,-7.3
0.098,19.1,-0.63,-1.4,-0.0013,100.9,-12.1
0.195,30.4,-0.63,-2.7,-0.0029,100.6,-19.2
0.293,43.5,-0.626,-1.4,-0.0013,100.9,-27.2
0.391,52.2,-0.601,-2.7,-0.0029,100.6,-31.3
0.488,65.2,-0.58,-1.4,-0.0029,100.7,-37.8
0.586,76.1,-0.577,-2.7,-0.0044,100.4,-43.9
0.684,83.5,-0.546,-2.7,-0.0013,100.8,-45.6
0.781,95.2,-0.538,-1.4,0.0002,101.1,-51.2
0.879,103.9,-0.529,-1.4,-0.0044,100.5,-55
0.977,110.4,-0.525,-2.7,-0.0044,100.4,-58
1.074,122.6,-0.508,-4,0.0002,100.9,-62.3
1.172,130.4,-0.489,-2.7,-0.0044,100.4,-63.8
1.27,139.6,-0.464,-2.7,-0.0029,100.6,-64.8
1.367,150.9,-0.456,-1.4,-0.0013,100.9,-68.7
1.465,158.3,-0.435,-1.4,-0.0044,100.5,-68.8
1.563,166.1,-0.424,-1.4,-0.0013,100.9,-70.4
1.66,170.9,-0.393,-1.4,-0.0013,100.9,-67.1
1.758,180,-0.388,-0.1,-0.0013,101,-69.9
1.855,184.8,-0.359,1.1,-0.0029,100.9,-66.3
1.953,190,-0.351,-0.1,-0.0059,100.4,-66.6
2.051,198.7,-0.317,-1.4,-0.0029,100.7,-63
2.148,203,-0.315,-2.7,-0.0044,100.4,-64
2.246,209.6,-0.298,-2.7,-0.0044,100.4,-62.5
2.344,216.5,-0.269,-2.7,-0.0029,100.6,-58.2
2.441,222.6,-0.256,-1.4,-0.0013,100.9,-57
2.539,227.8,-0.233,-2.7,-0.0044,100.4,-53.1
2.637,237.8,-0.204,-4,-0.0044,100.3,-48.4
2.734,240.4,-0.181,-2.7,-0.0013,100.8,-43.4
2.832,246.1,-0.153,-0.1,0.0002,101.2,-37.7
2.93,253.5,-0.143,-0.1,-0.0029,100.8,-36.2
3.027,260,-0.111,-4,-0.0059,100.1,-28.9
3.125,265.7,-0.092,-4,-0.0013,100.7,-24.5
3.223,269.6,-0.073,-1.4,-0.0013,100.9,-19.8
3.32,277.8,-0.052,-2.7,-0.0029,100.6,-14.6
3.418,282.2,-0.027,-1.4,-0.0013,100.9,-7.7
3.516,290.4,0,-0.1,0.0017,101.4,0
3.613,294.3,0.021,-2.7,-0.0013,100.8,6.2
3.711,299.6,0.034,-2.7,0.0017,101.2,10.1
3.809,304.3,0.078,-0.1,0.0033,101.6,23.6
3.906,309.1,0.086,-1.4,0.0002,101.1,26.6
4.004,311.3,0.12,-1.4,0.0017,101.3,37.3
4.102,317,0.122,-0.1,0.0002,101.2,38.6
4.199,322.6,0.155,-0.1,0.0002,101.2,50.1
4.297,321.7,0.183,-2.7,0.0002,101,58.8
4.395,323,0.197,-2.7,0.0002,101,63.8
4.492,323,0.225,-1.4,0.0017,101.3,72.6
4.59,325.7,0.248,-1.4,0.0002,101.1,80.7
4.688,327,0.269,-2.7,-0.0013,100.8,87.9
4.785,324.8,0.3,-2.7,0.0017,101.2,97.5
4.883,321.7,0.307,-1.4,0.0017,101.3,98.6
4.98,325.2,0.334,-1.4,0.0017,101.3,108.6
